iter	RMSE
0	0.1026784746
1	0.1026781546
2	0.1026778075
3	0.1026775724
4	0.1026768832
5	0.1026764055
6	0.1026761496
7	0.1026755347
8	0.1026748901
9	0.1026745495
10	0.1026742613
11	0.1026739901
12	0.1026733444
13	0.1026729738
14	0.1026727161
15	0.1026721371
16	0.1026718681
17	0.1026715395
18	0.1026709506
19	0.1026703642
20	0.1026701247
21	0.1026699216
22	0.1026693524
23	0.1026688228
24	0.1026682644
25	0.1026679221
26	0.1026675067
27	0.1026671723
28	0.10266662
29	0.1026663524
30	0.1026658412
31	0.1026655556
32	0.1026653066
33	0.1026646242
34	0.1026643409
35	0.102664079
36	0.1026635249
37	0.1026633195
38	0.1026628769
39	0.1026626107
40	0.1026619879
41	0.1026616811
42	0.1026611338
43	0.1026606619
44	0.1026603666
45	0.1026598956
46	0.1026596775
47	0.1026592334
48	0.1026588032
49	0.1026584783
50	0.1026581997
51	0.1026579617
52	0.1026576554
53	0.1026572505
54	0.1026569612
55	0.1026566892
56	0.1026563736
57	0.1026560726
58	0.1026558179
59	0.1026551643
60	0.1026548251
61	0.1026545212
62	0.1026542737
63	0.102653972
64	0.1026537125
65	0.102653392
66	0.1026531316
67	0.1026526482
68	0.1026522894
69	0.1026517368
70	0.1026514967
71	0.1026512567
72	0.1026507038
73	0.1026503199
74	0.1026500283
75	0.1026496878
76	0.1026490849
77	0.1026488076
78	0.102648442
79	0.102648097
80	0.1026475472
81	0.1026470988
82	0.1026468031
83	0.1026466001
84	0.102645977
85	0.1026453214
86	0.1026449417
87	0.1026446619
88	0.1026443859
89	0.1026439219
90	0.1026435088
91	0.1026431011
92	0.1026428947
93	0.1026426763
94	0.1026423483
95	0.1026420348
96	0.1026417606
97	0.1026414308
98	0.1026410947
99	0.1026407485
100	0.1026404397
101	0.1026401889
102	0.1026396045
103	0.1026392632
104	0.1026390122
105	0.1026384031
106	0.102638077
107	0.1026377823
108	0.1026374164
109	0.1026370703
110	0.1026367975
111	0.1026365188
112	0.1026359391
113	0.1026352901
114	0.1026347075
115	0.1026344592
116	0.1026341541
117	0.1026338701
118	0.1026336207
119	0.1026332808
120	0.1026329862
121	0.10263268
122	0.1026324312
123	0.1026320708
124	0.1026317716
125	0.1026312248
126	0.1026309316
127	0.1026306341
128	0.1026302794
129	0.1026300148
130	0.1026297388
131	0.1026294164
132	0.102629044
133	0.1026284547
134	0.1026279499
135	0.1026276617
136	0.1026273436
137	0.1026269963
138	0.1026264932
139	0.1026259477
140	0.1026256681
141	0.1026253724
142	0.1026251425
143	0.1026247916
144	0.1026244419
145	0.1026238545
146	0.1026233953
147	0.1026232577
148	0.1026230481
149	0.102622721
150	0.1026224313
151	0.1026221635
152	0.1026218902
153	0.1026214907
154	0.1026212147
155	0.1026207841
156	0.1026205196
157	0.102620186
158	0.1026199072
159	0.1026197457
160	0.1026195362
161	0.1026190035
162	0.10261844
163	0.1026180752
164	0.1026176027
165	0.102617298
166	0.1026167294
167	0.1026163809
168	0.1026160127
169	0.1026154089
170	0.1026151003
171	0.1026144959
172	0.1026138482
173	0.1026132691
174	0.1026131606
175	0.1026125431
176	0.1026119899
177	0.1026114634
178	0.1026111497
179	0.1026109278
180	0.1026105942
181	0.1026102506
182	0.1026096287
183	0.1026092056
184	0.1026089334
185	0.1026084652
186	0.1026082872
187	0.1026079147
188	0.1026073827
189	0.1026068526
190	0.1026066399
191	0.1026063851
192	0.1026060999
193	0.1026057539
194	0.102605306
195	0.1026045732
196	0.1026042806
197	0.1026036684
198	0.1026031404
199	0.1026027807
200	0.1026021546
201	0.1026018785
202	0.102601478
203	0.1026011892
204	0.1026008722
205	0.1026003552
206	0.1026001039
207	0.1025998478
208	0.1025992498
209	0.1025989406
210	0.1025986507
211	0.1025983778
212	0.1025980789
213	0.1025975655
214	0.1025971583
215	0.1025968231
216	0.1025965136
217	0.1025959273
218	0.1025957309
219	0.1025954105
220	0.102595128
221	0.1025948393
222	0.1025945366
223	0.1025939374
224	0.1025936636
225	0.1025934761
226	0.1025929625
227	0.1025925967
228	0.1025922956
229	0.1025916933
230	0.102590997
231	0.1025906293
232	0.1025903921
233	0.1025898358
234	0.1025891799
235	0.1025888331
236	0.1025886434
237	0.1025883268
238	0.1025880048
239	0.1025877681
240	0.1025871023
241	0.1025864946
