iter	Passed	Remaining
0	8	8784
1	16	8406
2	26	8691
3	34	8488
4	42	8398
5	50	8388
6	58	8282
7	66	8232
8	75	8269
9	82	8158
10	91	8228
11	99	8227
12	108	8225
13	116	8197
14	125	8218
15	133	8205
16	141	8200
17	150	8199
18	158	8185
19	166	8154
20	175	8160
21	182	8133
22	190	8101
23	199	8121
24	207	8103
25	216	8092
26	224	8090
27	231	8044
28	239	8010
29	247	8011
30	255	7988
31	263	7980
32	271	7958
33	279	7941
34	286	7887
35	293	7871
36	302	7865
37	310	7849
38	318	7843
39	326	7824
40	333	7802
41	341	7796
42	349	7776
43	357	7776
44	365	7760
45	373	7749
46	382	7747
47	392	7777
48	399	7752
49	407	7741
50	418	7787
51	426	7776
52	434	7760
53	442	7760
54	451	7749
55	458	7732
56	466	7722
57	474	7711
58	482	7689
59	490	7687
60	498	7666
61	505	7640
62	513	7632
63	520	7611
64	528	7602
65	536	7598
66	544	7578
67	553	7580
68	561	7574
69	568	7559
70	576	7547
71	585	7541
72	592	7523
73	600	7514
74	608	7509
75	616	7496
76	624	7489
77	632	7481
78	640	7468
79	648	7456
80	656	7452
81	665	7450
82	673	7436
83	681	7435
84	690	7432
85	698	7425
86	706	7417
87	714	7405
88	722	7396
89	731	7399
90	739	7388
91	747	7375
92	756	7377
93	764	7370
94	773	7367
95	782	7368
96	790	7355
97	799	7354
98	806	7341
99	814	7331
100	822	7320
101	831	7316
102	838	7306
103	846	7293
104	855	7292
105	863	7284
106	871	7275
107	879	7264
108	887	7253
109	894	7239
110	904	7241
111	912	7237
112	920	7228
113	929	7221
114	937	7213
115	945	7203
116	952	7191
117	960	7182
118	968	7173
119	978	7172
120	985	7162
121	994	7153
122	1002	7148
123	1010	7141
124	1018	7130
125	1026	7122
126	1035	7115
127	1043	7112
128	1052	7104
129	1059	7090
130	1067	7080
131	1075	7070
132	1083	7059
133	1090	7050
134	1103	7067
135	1111	7058
136	1118	7048
137	1126	7038
138	1134	7027
139	1142	7020
140	1151	7013
141	1158	7000
142	1166	6991
143	1175	6984
144	1183	6977
145	1191	6969
146	1200	6964
147	1207	6951
148	1215	6943
149	1223	6934
150	1231	6926
151	1239	6913
152	1247	6907
153	1255	6898
154	1263	6887
155	1271	6878
156	1279	6869
157	1287	6861
158	1295	6852
159	1303	6843
160	1311	6833
161	1319	6823
162	1327	6816
163	1335	6808
164	1343	6800
165	1351	6791
166	1359	6780
167	1367	6773
168	1376	6766
169	1384	6757
170	1392	6750
171	1400	6740
172	1408	6732
173	1418	6735
174	1425	6718
175	1433	6711
176	1441	6703
177	1449	6694
178	1457	6683
179	1465	6675
180	1473	6665
181	1481	6656
182	1489	6650
183	1497	6640
184	1504	6629
185	1513	6622
186	1521	6612
187	1528	6601
188	1537	6596
189	1544	6585
190	1552	6574
191	1560	6565
192	1567	6554
193	1575	6543
194	1583	6537
195	1591	6528
196	1599	6520
197	1607	6511
198	1615	6501
199	1622	6490
200	1631	6484
201	1639	6476
202	1647	6469
203	1655	6460
204	1663	6450
205	1670	6439
206	1679	6433
207	1687	6423
208	1695	6416
209	1704	6411
210	1711	6401
211	1719	6391
212	1728	6385
213	1735	6375
214	1743	6367
215	1752	6359
216	1760	6351
217	1768	6342
218	1776	6335
219	1784	6327
220	1792	6320
221	1801	6312
222	1808	6302
223	1816	6294
224	1825	6288
225	1833	6278
226	1841	6270
