iter	RMSE
0	0.1923332616
1	0.1918465552
2	0.1914342196
3	0.1910357891
4	0.1907308963
5	0.190381705
6	0.1900488043
7	0.189803282
8	0.1896584227
9	0.1894456858
10	0.1892917692
11	0.1890663352
12	0.1886534148
13	0.1884553847
14	0.1881199289
15	0.1879086103
16	0.1876978569
17	0.1875179081
18	0.1874210942
19	0.1872838092
20	0.1871388114
21	0.1869451788
22	0.1867776842
23	0.1867110799
24	0.1866372189
25	0.1864497293
26	0.1863074188
27	0.1862027498
28	0.1860304163
29	0.185748674
30	0.1856141153
31	0.1855049325
32	0.1852404251
33	0.1851560769
34	0.1850428778
35	0.1849705364
36	0.1847995367
37	0.184714556
38	0.1846213793
39	0.1845616706
40	0.1844778228
41	0.184317245
42	0.1841805826
43	0.184123021
44	0.183941992
45	0.1838212247
46	0.1836818024
47	0.183625588
48	0.1834778601
49	0.1834164729
50	0.1832078246
51	0.1831268771
52	0.1830460713
53	0.1829775128
54	0.1828688987
55	0.182785154
56	0.1825831864
57	0.1824396997
58	0.182409771
59	0.1823239979
60	0.1822567194
61	0.1821959613
62	0.1821547042
63	0.1820648303
64	0.1819757756
65	0.1818757999
66	0.1818127649
67	0.1817610327
68	0.1817135481
69	0.1816970823
70	0.1815955697
71	0.1815234411
72	0.1814774122
73	0.1814366134
74	0.1813647327
75	0.1812481569
76	0.1811574964
77	0.1810085688
78	0.1809650244
79	0.1808945323
80	0.1808571321
81	0.1808007108
82	0.180769754
83	0.1807370577
84	0.1806746305
85	0.1806366935
86	0.1805856773
87	0.1805409352
88	0.1804801006
89	0.1804244405
90	0.1803571515
91	0.1802901913
92	0.1801960937
93	0.180070826
94	0.1800043578
95	0.1799291096
96	0.1798964276
97	0.1797879935
98	0.1797066405
99	0.1796830935
100	0.1796450552
101	0.1795350028
102	0.1794797684
103	0.1794368799
104	0.1793951735
105	0.1793495751
106	0.1793240144
107	0.1792923075
108	0.1792451268
109	0.1792020493
110	0.1790844334
111	0.1790070294
112	0.1789139731
113	0.1788548326
114	0.1788068373
115	0.1787743886
116	0.1787230217
117	0.1786641645
118	0.1786139328
119	0.1785662244
120	0.1785314906
121	0.178465342
122	0.178421489
123	0.1783790091
124	0.1783177009
125	0.1782780199
126	0.1782533208
127	0.1782236811
128	0.1781810273
129	0.1781456074
130	0.1780736357
131	0.1780442282
132	0.1780028265
133	0.177917996
134	0.1778726836
135	0.1778269236
136	0.177764196
137	0.1776981001
138	0.1776484521
139	0.1776075183
140	0.1775764165
141	0.1775463522
142	0.1774681671
143	0.1774463451
144	0.1773833633
145	0.177301221
146	0.177272214
147	0.1772050476
148	0.1771755614
149	0.1771501045
150	0.1771021455
151	0.1770424438
152	0.1770175412
153	0.1769933072
154	0.1769401263
155	0.1768883807
156	0.1768683786
157	0.1768349592
158	0.1768084727
159	0.1767696242
160	0.1767524081
161	0.1767214615
162	0.1766702902
163	0.1766367077
164	0.1766141833
165	0.1765858177
166	0.176559429
167	0.1765268366
168	0.1764929112
169	0.176467643
170	0.1764207205
171	0.1763796534
172	0.1763180805
173	0.1763002411
174	0.1762663281
175	0.1762344821
176	0.1761842825
177	0.1761636801
178	0.1761265829
179	0.1760958981
180	0.1760791801
181	0.1760508114
182	0.1759964039
183	0.1759668243
184	0.1759129538
185	0.1758385919
186	0.1758156112
187	0.1757998721
188	0.1757678122
189	0.1757158727
190	0.1756982583
191	0.1756589726
192	0.1756369895
193	0.1756110736
194	0.1755541798
195	0.1755268544
196	0.1754956773
197	0.1754732371
198	0.1754378582
199	0.175418022
200	0.1753920744
201	0.1753880501
202	0.1753640087
203	0.1753417617
204	0.175317932
205	0.1752928228
206	0.1752634331
207	0.1752361972
208	0.1751895464
209	0.1751582376
210	0.1751333902
211	0.1751060595
212	0.1750959088
213	0.1750727372
214	0.1750165505
215	0.1749523225
216	0.1749207576
217	0.1748991701
218	0.1748663085
219	0.1748569191
220	0.1748016022
221	0.1748010641
222	0.1747695352
223	0.1747237527
224	0.1746758218
225	0.1746224908
226	0.1745737496
227	0.1745253761
228	0.1744745605
229	0.1744547111
230	0.1744275907
231	0.17439727
232	0.174377557
233	0.1743289532
234	0.1743280727
235	0.1743254981
236	0.1742811023
237	0.1742510984
238	0.1742202917
239	0.1741878723
240	0.1741653101
241	0.1741425216
242	0.174115718
243	0.174093065
244	0.1740392501
245	0.1740206845
246	0.1739984235
247	0.1739804965
248	0.1739561711
249	0.1739362076
250	0.1739153965
251	0.1738902712
252	0.1738440287
253	0.1738219566
254	0.1737890491
255	0.1737747055
256	0.1737347557
257	0.1737113141
258	0.1736535284
259	0.1736244323
260	0.1735898516
261	0.1735670851
262	0.1735448287
263	0.1735064382
264	0.1734900954
265	0.1734723044
266	0.1734490181
267	0.1734109574
268	0.1733638464
269	0.1733506913
270	0.1733194097
271	0.173304583
272	0.1732876062
273	0.173268216
274	0.1732307416
275	0.1732021906
276	0.1731809017
277	0.1731407034
278	0.1731247947
279	0.1731145226
280	0.1730687571
281	0.1730552058
282	0.1730395334
283	0.172991234
284	0.1729688023
285	0.1729320244
286	0.172890935
287	0.1728677391
288	0.1728434658
289	0.1728091953
290	0.1728087668
291	0.1727819306
292	0.172764703
293	0.1727390807
294	0.1727238719
295	0.1727005104
296	0.1726850074
297	0.1726563103
298	0.1726378065
299	0.1726259936
300	0.1726187373
301	0.1725884711
302	0.1725685404
303	0.1725498767
304	0.1725365426
305	0.1725213872
306	0.172508843
307	0.1724897881
308	0.1724708242
309	0.172454053
310	0.1724201342
311	0.1724040989
312	0.1723855053
313	0.1723416032
314	0.1723233256
315	0.1723088832
316	0.1722869283
317	0.1722553664
318	0.1722295579
319	0.1722096474
320	0.1721840244
321	0.1721685751
322	0.1721463963
323	0.1721203027
324	0.1721004703
325	0.1720810095
326	0.1720666018
327	0.1720411755
328	0.1720145487
329	0.1719707822
330	0.1719607418
331	0.1719350717
332	0.1719058259
333	0.1718841094
334	0.1718716214
335	0.1718490857
336	0.1718304952
337	0.1718195926
338	0.1718061914
339	0.1718001109
340	0.1717684156
341	0.1717528841
342	0.1717380781
343	0.1717169446
344	0.1716924943
345	0.1716790687
346	0.171669092
347	0.1716560688
348	0.1716480048
349	0.1716262528
350	0.1716176332
351	0.1715741396
352	0.1715614778
353	0.1715439861
354	0.1714885315
355	0.1714700357
356	0.1714573802
357	0.1714345535
358	0.1714188385
359	0.1713899476
360	0.171374605
361	0.1713579677
362	0.1713446067
363	0.171330826
364	0.1712959508
365	0.1712781179
366	0.1712548009
367	0.1712331158
368	0.1711963367
369	0.1711629265
370	0.1711542255
371	0.1711346788
372	0.171111767
373	0.1710942254
374	0.1710776923
375	0.1710771819
376	0.1710585009
377	0.1710445275
378	0.1710255319
379	0.1710051839
380	0.1709851363
381	0.1709712899
382	0.1709578496
383	0.1709442557
384	0.1709153548
385	0.1708968604
386	0.1708909451
387	0.1708802212
388	0.1708654025
389	0.1708396866
390	0.170823603
391	0.1707919004
392	0.1707750147
393	0.1707547011
394	0.1707497117
395	0.1707344039
396	0.1707183489
397	0.1707007627
398	0.1706900221
399	0.1706750589
400	0.1706582765
401	0.1706488676
402	0.1706201165
403	0.1706052035
404	0.1705789593
405	0.1705649916
406	0.1705521338
407	0.1705339276
408	0.1705146859
409	0.1705012214
410	0.1704860548
411	0.1704856847
412	0.1704785883
413	0.1704661418
414	0.1704494014
415	0.170437146
416	0.1704209361
417	0.1704056842
418	0.1703762469
419	0.1703320137
420	0.1703213545
421	0.1702979784
422	0.1702688435
423	0.1702647211
424	0.1702518428
425	0.1702259896
426	0.1702159975
427	0.1702053993
428	0.1701809642
429	0.1701483072
430	0.1701329744
431	0.1701181253
432	0.1701002676
433	0.1700890799
434	0.1700804978
435	0.1700726726
436	0.1700645939
437	0.170049643
438	0.1700284587
439	0.1700052906
440	0.1699927148
441	0.1699878919
442	0.1699611164
443	0.1699480254
444	0.1699275384
445	0.1699042489
446	0.1698951891
447	0.1698830095
448	0.1698628684
449	0.1698460772
450	0.1698311635
451	0.1698224126
452	0.1698129317
453	0.1697933895
454	0.1697847893
455	0.1697789469
456	0.1697530414
457	0.1697402783
458	0.1697301168
459	0.1697071976
460	0.169697052
461	0.1696821159
462	0.1696664701
463	0.169646057
464	0.1696341558
465	0.1696250033
466	0.1696062921
467	0.1696005285
468	0.1695861733
469	0.1695762249
470	0.1695624024
471	0.1695388773
472	0.169530694
473	0.1695227979
474	0.1695092638
475	0.1694947534
476	0.169476833
477	0.1694566763
478	0.1694429196
479	0.1694207472
480	0.1693990533
481	0.1693853954
482	0.1693716252
483	0.1693610155
484	0.1693427639
485	0.1693247438
486	0.1693109149
487	0.1692969624
488	0.1692777625
489	0.1692596737
490	0.1692373314
491	0.1692296576
492	0.1692088267
493	0.1691950585
494	0.1691836867
495	0.1691688279
496	0.1691544896
497	0.1691405771
498	0.1691268371
499	0.1691020129
500	0.1690848377
501	0.1690641162
502	0.1690428776
503	0.1690083125
504	0.1689965146
505	0.168962476
506	0.1689513674
507	0.1689398698
508	0.1689256825
509	0.1689096806
510	0.1688907966
511	0.1688750242
512	0.1688563298
513	0.1688445411
514	0.1688297594
515	0.1688069707
516	0.1687795284
517	0.1687646242
518	0.1687449048
519	0.1687353401
520	0.1687197507
521	0.1687005361
522	0.1686860665
523	0.1686682313
524	0.1686543966
525	0.1686428142
526	0.1686306094
527	0.1686091939
528	0.1685986191
529	0.1685808562
530	0.1685675947
531	0.1685529396
532	0.1685495508
533	0.1685433388
534	0.1685218154
535	0.16851334
536	0.1684979302
537	0.168481326
538	0.1684650021
539	0.1684445528
540	0.168427984
541	0.1684180895
542	0.1684040134
543	0.1683814835
544	0.1683602407
545	0.1683482379
546	0.1683378249
547	0.1683231703
548	0.1682958854
549	0.1682916667
550	0.1682816357
551	0.1682670809
552	0.1682524314
553	0.1682319702
554	0.1682317498
555	0.1682201011
556	0.1682049221
557	0.1681946583
558	0.1681806156
559	0.1681642251
560	0.1681553505
561	0.1681286985
562	0.1681156752
563	0.1681037342
564	0.1680924992
565	0.1680810914
566	0.1680653616
567	0.1680478746
568	0.1680329875
569	0.1680182622
570	0.1680086399
571	0.1679939719
572	0.1679788128
573	0.1679598887
574	0.1679486008
575	0.167935828
576	0.1679229731
577	0.1679086422
578	0.1679000792
579	0.1678896338
580	0.1678745184
581	0.1678580043
582	0.1678383435
583	0.1678269745
584	0.1678138589
585	0.1678135895
586	0.167782459
587	0.1677644858
588	0.1677505276
589	0.1677377404
590	0.1677266355
591	0.1677125007
592	0.1677040677
593	0.1676921145
594	0.1676755577
595	0.1676599202
596	0.1676542388
597	0.1676476477
598	0.1676387203
599	0.1676325032
600	0.1676229795
601	0.1676118969
602	0.1676064437
603	0.1675890708
604	0.1675707268
605	0.1675488757
606	0.1675337003
607	0.1675261416
608	0.1675187661
609	0.1675045172
610	0.1674902061
611	0.1674783032
612	0.1674639125
613	0.1674495861
614	0.1674383213
615	0.167430364
616	0.1674174718
617	0.1674096399
618	0.1674025476
619	0.1673767154
620	0.16736558
621	0.167352852
622	0.1673435621
623	0.1673316155
624	0.1673216807
625	0.1673054486
626	0.1672920284
627	0.1672873635
628	0.1672819038
629	0.1672690544
