iter	Passed	Remaining
0	62	62049
1	106	52957
2	145	48387
3	185	46309
4	223	44507
5	261	43334
6	313	44540
7	355	44130
8	393	43317
9	430	42625
10	473	42586
11	518	42667
12	558	42436
13	606	42745
14	653	42896
15	692	42579
16	731	42303
17	775	42288
18	816	42144
19	859	42121
20	896	41811
21	939	41774
22	980	41657
23	1020	41510
24	1064	41510
25	1099	41206
26	1140	41095
27	1187	41212
28	1232	41250
29	1270	41069
30	1351	42239
31	1439	43546
32	1489	43641
33	1528	43414
34	1575	43440
35	1616	43292
36	1658	43169
37	1714	43394
38	1769	43598
39	1826	43842
40	1886	44127
41	1934	44119
42	1977	44019
43	2020	43904
44	2060	43732
45	2100	43566
46	2145	43502
47	2190	43437
48	2232	43333
49	2275	43230
50	2313	43054
51	2353	42904
52	2390	42721
53	2436	42682
54	2479	42600
55	2523	42534
56	2564	42432
57	2600	42236
58	2645	42196
59	2687	42111
60	2729	42011
61	2772	41939
62	2815	41879
63	2858	41804
64	2898	41689
65	2940	41610
66	2982	41529
67	3018	41364
68	3054	41220
69	3091	41077
70	3128	40938
71	3166	40808
72	3207	40734
73	3243	40587
74	3287	40544
75	3327	40453
76	3370	40397
77	3414	40363
78	3457	40304
79	3499	40241
80	3537	40136
81	3582	40104
82	3624	40043
83	3665	39971
84	3701	39847
85	3746	39817
86	3790	39775
87	3827	39669
88	3872	39641
89	3915	39593
90	3957	39531
91	3995	39433
92	4037	39373
93	4074	39273
94	4116	39211
95	4161	39191
96	4198	39088
97	4240	39025
98	4277	38931
99	4318	38863
100	4353	38751
101	4397	38710
102	4438	38654
103	4480	38597
104	4519	38527
105	4563	38488
106	4599	38383
107	4640	38325
108	4680	38261
109	4721	38204
110	4760	38128
111	4804	38090
112	4846	38040
113	4887	37985
114	4924	37898
115	4965	37837
116	5002	37753
117	5042	37687
118	5082	37630
119	5119	37542
120	5158	37475
121	5206	37468
122	5245	37397
123	5287	37352
124	5324	37274
125	5385	37359
126	5429	37320
127	5473	37286
128	5517	37256
129	5560	37213
130	5604	37180
131	5647	37139
132	5688	37081
133	5729	37029
134	5767	36952
135	5808	36902
136	5851	36858
137	5893	36814
138	5946	36833
139	5990	36800
140	6028	36728
141	6068	36668
142	6105	36590
143	6145	36529
144	6185	36470
145	6225	36415
146	6268	36372
147	6307	36308
148	6348	36259
149	6389	36207
150	6432	36164
151	6468	36089
152	6511	36047
153	6547	35970
154	6584	35897
155	6625	35847
156	6667	35798
157	6703	35721
158	6743	35666
159	6780	35597
160	6820	35542
161	6865	35512
162	6904	35454
163	6935	35356
164	6979	35318
165	7016	35249
166	7057	35204
167	7099	35160
168	7141	35115
169	7181	35062
170	7226	35032
171	7264	34972
172	7306	34926
173	7349	34887
174	7390	34838
175	7428	34778
176	7464	34708
177	7506	34663
178	7543	34599
179	7585	34556
180	7622	34492
181	7658	34423
182	7701	34384
183	7747	34356
184	7782	34284
185	7824	34244
186	7866	34201
187	7906	34150
188	7947	34101
189	7982	34031
190	8023	33982
191	8067	33951
192	8108	33905
193	8150	33862
194	8186	33793
195	8227	33751
196	8272	33720
197	8315	33681
198	8357	33639
199	8397	33591
200	8440	33553
201	8485	33520
202	8529	33489
203	8568	33435
204	8603	33365
205	8647	33330
206	8689	33288
207	8731	33246
208	8776	33218
209	8819	33178
210	8858	33126
211	8900	33083
212	8941	33036
213	8982	32990
214	9020	32936
215	9062	32892
216	9097	32827
217	9139	32783
218	9180	32740
219	9223	32702
220	9265	32660
221	9306	32613
222	9353	32590
223	9398	32560
224	9440	32516
225	9479	32464
226	9523	32428
227	9557	32360
228	9595	32305
229	9637	32266
230	9680	32227
231	9717	32169
232	9757	32118
233	9803	32090
234	9845	32050
235	9887	32009
236	9928	31962
237	9968	31915
238	10010	31874
239	10051	31830
240	10092	31784
241	10129	31728
242	10168	31677
243	10207	31626
244	10245	31572
245	10287	31532
246	10330	31493
247	10374	31456
248	10416	31416
249	10456	31368
250	10498	31327
251	10534	31269
252	10575	31223
253	10617	31182
254	10657	31137
255	10697	31090
256	10739	31047
257	10778	30997
258	10818	30952
259	10860	30911
260	10902	30869
261	10941	30820
262	10982	30775
263	11023	30732
264	11066	30693
265	11109	30656
266	11150	30610
267	11186	30552
268	11230	30518
269	11272	30478
270	11308	30420
271	11349	30377
272	11386	30322
273	11427	30278
274	11468	30234
275	11509	30192
276	11550	30148
277	11590	30101
278	11629	30054
279	11673	30018
280	11716	29978
281	11758	29938
282	11799	29894
283	11838	29845
284	11878	29800
285	11915	29745
286	11951	29692
287	11992	29648
288	12032	29603
289	12071	29554
290	12107	29499
291	12145	29449
292	12188	29409
293	12228	29364
294	12271	29327
295	12316	29292
296	12357	29249
297	12395	29199
298	12436	29156
299	12480	29120
300	12523	29082
301	12564	29039
302	12600	28985
303	12645	28951
304	12686	28909
305	12729	28870
306	12771	28829
307	12812	28787
308	12855	28747
309	12895	28703
310	12932	28650
311	12972	28606
312	13009	28554
313	13052	28515
314	13092	28470
315	13134	28429
316	13173	28382
317	13213	28337
318	13252	28291
319	13290	28242
320	13326	28189
321	13363	28138
322	13404	28095
323	13448	28058
324	13488	28014
325	13530	27973
326	13571	27931
327	13612	27888
328	13654	27849
329	13695	27805
330	13735	27762
331	13776	27718
332	13816	27674
333	13860	27637
334	13897	27588
335	13938	27545
336	13980	27504
337	14016	27453
338	14053	27402
339	14090	27352
340	14128	27303
341	14169	27262
342	14205	27210
343	14247	27168
344	14289	27129
345	14318	27065
346	14361	27026
347	14394	26968
348	14431	26919
349	14470	26873
350	14510	26830
351	14553	26791
352	14588	26738
353	14627	26693
354	14665	26645
355	14711	26613
356	14752	26571
357	14794	26531
358	14832	26484
359	14876	26447
360	14917	26404
361	14955	26357
362	14997	26318
363	15040	26278
364	15077	26230
365	15119	26190
366	15162	26151
367	15200	26105
368	15242	26064
369	15282	26020
370	15324	25980
371	15369	25945
372	15406	25898
373	15449	25859
374	15492	25821
375	15536	25784
376	15579	25745
377	15619	25701
378	15657	25654
379	15699	25614
380	15736	25566
381	15779	25527
382	15815	25478
383	15872	25462
384	15922	25435
385	15963	25392
386	16002	25348
387	16040	25300
388	16082	25260
389	16122	25217
390	16164	25176
391	16201	25129
392	16243	25088
393	16280	25040
394	16319	24994
395	16355	24946
396	16398	24907
397	16442	24869
398	16485	24831
399	16530	24795
400	16571	24753
401	16610	24709
402	16656	24674
403	16694	24628
404	16733	24583
405	16776	24544
406	16818	24505
407	16857	24459
408	16901	24422
409	16945	24384
410	16984	24340
411	17020	24291
412	17063	24251
413	17099	24203
414	17137	24158
415	17178	24116
416	17219	24074
417	17261	24033
418	17302	23991
419	17340	23946
420	17383	23906
421	17424	23865
422	17467	23827
423	17510	23787
424	17547	23740
425	17586	23696
426	17623	23649
427	17665	23609
428	17706	23567
429	17747	23526
430	17785	23479
431	17825	23437
432	17866	23395
433	17906	23353
434	17951	23316
435	17990	23271
436	18034	23234
437	18071	23188
438	18114	23148
439	18155	23106
440	18197	23066
441	18238	23025
442	18274	22977
443	18311	22930
444	18348	22884
445	18388	22841
446	18425	22794
447	18463	22749
448	18503	22707
449	18546	22668
450	18588	22627
451	18630	22588
452	18672	22546
453	18712	22503
454	18755	22465
455	18797	22424
456	18838	22383
457	18878	22341
458	18921	22302
459	18962	22260
460	19003	22218
461	19044	22177
462	19085	22136
463	19122	22089
464	19163	22048
465	19212	22016
466	19253	21974
467	19291	21929
468	19332	21888
469	19371	21844
470	19407	21797
471	19445	21752
472	19487	21712
473	19528	21670
474	19569	21629
475	19609	21587
476	19646	21541
477	19690	21502
478	19731	21461
479	19772	21420
480	19811	21376
481	19851	21334
482	19887	21287
483	19931	21248
484	19972	21207
485	20008	21161
486	20051	21121
487	20091	21079
488	20130	21036
489	20173	20996
490	20214	20955
491	20250	20909
492	20292	20868
493	20335	20829
494	20374	20786
495	20418	20747
496	20461	20708
497	20499	20663
498	20540	20622
499	20578	20578
500	20615	20533
501	20651	20486
502	20691	20444
503	20732	20403
504	20768	20357
505	20811	20317
506	20854	20278
507	20896	20238
508	20938	20198
509	20980	20157
510	21019	20114
511	21056	20069
512	21097	20027
513	21138	19986
514	21178	19944
515	21217	19901
516	21258	19860
517	21296	19816
518	21341	19778
519	21381	19736
520	21421	19694
521	21458	19649
522	21500	19609
523	21544	19570
524	21581	19525
525	21620	19483
526	21656	19437
527	21697	19396
528	21734	19351
529	21777	19312
530	21814	19267
531	21855	19226
532	21891	19181
533	21930	19138
534	21966	19092
535	22009	19052
536	22044	19007
537	22084	18964
538	22130	18927
539	22172	18887
540	22213	18846
541	22255	18806
542	22292	18761
543	22331	18718
544	22372	18678
545	22412	18636
546	22448	18591
547	22492	18551
548	22533	18511
549	22580	18474
550	22621	18433
551	22663	18393
552	22705	18353
553	22742	18308
554	22782	18267
555	22825	18227
556	22865	18185
557	22907	18145
558	22947	18103
559	22990	18063
560	23032	18023
561	23073	17982
562	23110	17938
563	23151	17897
564	23193	17856
565	23231	17813
566	23271	17771
567	23312	17730
568	23356	17691
569	23397	17651
570	23435	17607
571	23478	17567
572	23515	17523
573	23556	17482
574	23592	17438
575	23630	17394
576	23670	17352
577	23713	17313
578	23756	17273
579	23793	17229
580	23834	17189
581	23872	17145
582	23912	17103
583	23949	17060
584	23988	17017
585	24030	16977
586	24072	16937
587	24113	16896
588	24155	16855
589	24198	16815
590	24240	16775
591	24279	16733
592	24317	16690
593	24360	16650
594	24402	16610
595	24442	16568
596	24482	16526
597	24525	16486
598	24568	16447
599	24612	16408
600	24652	16366
601	24688	16322
602	24728	16280
603	24764	16236
604	24801	16192
605	24840	16150
606	24881	16109
607	24918	16065
608	24956	16023
609	24994	15980
610	25036	15939
611	25076	15897
612	25116	15856
613	25151	15811
614	25191	15770
615	25227	15726
616	25264	15682
617	25307	15643
618	25347	15601
619	25389	15561
620	25433	15522
621	25469	15478
622	25507	15435
623	25543	15391
624	25583	15350
625	25620	15306
626	25662	15266
627	25704	15226
628	25741	15183
629	25783	15142
630	25824	15101
631	25867	15061
632	25904	15018
633	25938	14973
634	25980	14933
635	26018	14891
636	26062	14852
637	26104	14811
638	26146	14771
639	26190	14731
640	26231	14691
641	26275	14651
642	26312	14608
643	26349	14565
644	26385	14522
645	26422	14479
646	26463	14438
647	26501	14395
648	26538	14352
649	26574	14309
650	26609	14265
651	26651	14224
652	26694	14185
653	26733	14143
654	26773	14102
655	26818	14063
656	26859	14022
657	26900	13981
658	26941	13940
659	26986	13902
660	27023	13859
661	27066	13819
662	27108	13778
663	27148	13737
664	27186	13695
665	27227	13654
666	27264	13611
667	27303	13569
668	27345	13529
669	27383	13487
670	27422	13445
671	27465	13405
672	27506	13365
673	27545	13323
674	27583	13281
675	27622	13239
676	27667	13200
677	27708	13159
678	27745	13116
679	27786	13076
680	27827	13035
681	27867	12993
682	27903	12950
683	27943	12909
684	27981	12867
685	28024	12827
686	28066	12787
687	28102	12744
688	28139	12701
689	28182	12661
690	28232	12625
691	28269	12582
692	28307	12540
693	28348	12499
694	28389	12458
695	28426	12416
696	28467	12375
697	28508	12334
698	28550	12294
699	28587	12251
700	28625	12209
701	28663	12167
702	28702	12126
703	28742	12084
704	28784	12044
705	28826	12004
706	28866	11963
707	28908	11922
708	28951	11882
709	28988	11840
710	29030	11800
711	29070	11758
712	29109	11717
713	29146	11674
714	29186	11633
715	29224	11591
716	29264	11550
717	29305	11509
718	29347	11469
719	29387	11428
720	29424	11386
721	29468	11346
722	29512	11307
723	29547	11263
724	29587	11222
725	29628	11182
726	29667	11140
727	29703	11098
728	29737	11054
729	29778	11013
730	29815	10971
731	29851	10929
732	29894	10889
733	29935	10848
734	29975	10807
735	30011	10765
736	30049	10723
737	30089	10682
738	30130	10641
739	30172	10601
740	30210	10559
741	30252	10518
742	30288	10476
743	30329	10436
744	30375	10396
745	30413	10355
746	30455	10314
747	30503	10276
748	30546	10236
749	30583	10194
750	30628	10154
751	30669	10114
752	30712	10074
753	30759	10035
754	30802	9995
755	30841	9954
756	30882	9913
757	30921	9871
758	30965	9832
759	31032	9799
760	31077	9760
761	31118	9719
762	31163	9679
763	31206	9639
764	31248	9599
765	31287	9557
766	31325	9516
767	31366	9475
768	31404	9433
769	31443	9392
770	31489	9352
771	31531	9312
772	31574	9272
773	31616	9231
774	31659	9191
775	31700	9150
776	31744	9110
777	31784	9069
778	31825	9028
779	31867	8988
780	31909	8947
781	31945	8905
782	31986	8864
783	32028	8824
784	32070	8783
785	32108	8742
786	32146	8700
787	32188	8659
788	32231	8619
789	32274	8579
790	32312	8537
791	32352	8496
792	32393	8455
793	32433	8414
794	32477	8374
795	32518	8333
796	32555	8292
797	32597	8251
798	32640	8211
799	32680	8170
800	32716	8128
801	32755	8086
802	32797	8046
803	32834	8004
804	32876	7963
805	32927	7925
806	32977	7886
807	33018	7846
808	33062	7805
809	33104	7765
810	33147	7724
811	33187	7683
812	33229	7643
813	33267	7601
814	33306	7560
815	33350	7520
816	33388	7478
817	33429	7437
818	33465	7395
819	33504	7354
820	33544	7313
821	33586	7272
822	33627	7232
823	33664	7190
824	33703	7149
825	33746	7108
826	33784	7067
827	33821	7025
828	33859	6984
829	33904	6944
830	33944	6903
831	33979	6861
832	34018	6820
833	34062	6779
834	34107	6739
835	34151	6699
836	34194	6659
837	34244	6620
838	34282	6578
839	34323	6537
840	34362	6496
841	34404	6455
842	34444	6414
843	34482	6373
844	34521	6332
845	34563	6291
846	34606	6251
847	34647	6210
848	34688	6169
849	34725	6127
850	34766	6087
851	34803	6045
852	34845	6005
853	34886	5964
854	34923	5922
855	34965	5882
856	35013	5842
857	35054	5801
858	35092	5760
859	35132	5719
860	35169	5677
861	35207	5636
862	35246	5595
863	35287	5554
864	35330	5514
865	35371	5473
866	35407	5431
867	35448	5390
868	35488	5349
869	35531	5309
870	35573	5268
871	35615	5227
872	35655	5187
873	35699	5146
874	35740	5105
875	35783	5065
876	35822	5024
877	35857	4982
878	35894	4941
879	35935	4900
880	35979	4859
881	36022	4819
882	36063	4778
883	36105	4737
884	36142	4696
885	36180	4655
886	36223	4614
887	36261	4573
888	36297	4532
889	36335	4490
890	36373	4449
891	36415	4409
892	36457	4368
893	36497	4327
894	36535	4286
895	36575	4245
896	36617	4204
897	36657	4163
898	36696	4122
899	36740	4082
900	36781	4041
901	36818	4000
902	36859	3959
903	36901	3918
904	36939	3877
905	36980	3836
906	37021	3796
907	37060	3754
908	37099	3714
909	37139	3673
910	37179	3632
911	37221	3591
912	37259	3550
913	37296	3509
914	37336	3468
915	37378	3427
916	37415	3386
917	37451	3345
918	37489	3304
919	37531	3263
920	37568	3222
921	37609	3181
922	37653	3141
923	37693	3100
924	37733	3059
925	37775	3018
926	37817	2978
927	37851	2936
928	37895	2896
929	37939	2855
930	37981	2814
931	38022	2774
932	38072	2734
933	38117	2693
934	38160	2652
935	38198	2611
936	38235	2570
937	38276	2530
938	38317	2489
939	38354	2448
940	38399	2407
941	38436	2366
942	38477	2325
943	38522	2285
944	38562	2244
945	38604	2203
946	38641	2162
947	38682	2121
948	38725	2081
949	38764	2040
950	38805	1999
951	38847	1958
952	38888	1917
953	38929	1877
954	38968	1836
955	39007	1795
956	39055	1754
957	39101	1714
958	39145	1673
959	39189	1632
960	39237	1592
961	39279	1551
962	39322	1510
963	39366	1470
964	39411	1429
965	39456	1388
966	39498	1347
967	39547	1307
968	39591	1266
969	39634	1225
970	39675	1184
971	39721	1144
972	39764	1103
973	39807	1062
974	39853	1021
975	39902	981
976	39946	940
977	39989	899
978	40030	858
979	40075	817
980	40119	777
981	40161	736
982	40207	695
983	40249	654
984	40294	613
985	40339	572
986	40389	531
987	40436	491
988	40482	450
989	40522	409
990	40565	368
991	40606	327
992	40650	286
993	40694	245
994	40736	204
995	40775	163
996	40817	122
997	40857	81
998	40899	40
999	40938	0
